"deutschland, germany","osterreich, oesterreich, austria, österreich","schweiz, switzerland","holland, niederlande, netherlands","polen, poland, polska","belgien, belgium","luxemburg, luxembourg","dänemark, danemark, daenemark, denmark","italien, italy","frankreich, france",portugal,"spanien, spain","uk, united kingdom, great britain, grossbritannien, großbritannien, vereinigtes königreich, england"
Lübeck Deutschland,Bruck an der Mur Österreich,Kreuzlingen Schweiz,Hengelo Niederlande,Königshütte Polen,Turnhout Belgien,flop,Holbæk Dänemark,Siracusa Italien,Saint-Denis Frankreich,Câmara de Lobos Portugal,Getafe Spanien,Rotherham UK
Oberhausen Deutschland,Spittal an der Drau Österreich,Wädenswil Schweiz,Amstelveen Niederlande,Kalisch Polen,Dilbeek Belgien,flop,Svendborg Dänemark,Pescara Italien,Rouen Frankreich,Alverca do Ribatejo Portugal,Burgos Spanien,Stoke-on-Trent UK
Erfurt Deutschland,Ternitz Österreich,Carouge Schweiz,Purmerend Niederlande,Köslin Polen,Heist-op-den-Berg Belgien,flop,Herlev Dänemark,Bergamo Italien,Argenteuil Frankreich,Arrentela Portugal,Santander Spanien,Wolverhampton UK
Mainz Deutschland,Bludenz Österreich,Riehen Schweiz,Roosendaal Niederlande,Liegnitz Polen,Woluwe-Saint-Pierre Belgien,flop,Hjørring Dänemark,Forlì Italien,Caen Frankreich,Póvoa de Santa Iria Portugal,Albacete Spanien,"Rhondda, Cynon, Taff UK"
Rostock Deutschland,Eisenstadt Österreich,Renens Schweiz,Oss Niederlande,Graudenz Polen,Sint-Truiden Belgien,flop,Frederikshavn Dänemark,Trento Italien,Montreuil Frankreich,Montijo Portugal,Castellón de la Plana Spanien,South Gloucestershire UK
Kassel Deutschland,Feldkirchen in Kärnten Österreich,Aarau Schweiz,Schiedam Niederlande,Stolp Polen,Lokeren Belgien,flop,Glostrup Dänemark,Vicenza Italien,Nancy Frankreich,flop,Alcorcón Spanien,Derby UK
Hagen Deutschland,Bad Ischl Österreich,Allschwil Schweiz,Spijkenisse Niederlande,Jaworzno Polen,Vilvoorde Belgien,flop,Nørresundby Dänemark,Terni Italien,Roubaix Frankreich,flop,San Cristóbal de La Laguna Spanien,Swansea UK
Hamm Deutschland,Hall in Tirol Österreich,Wettingen Schweiz,Lelystad Niederlande,Bad Königsdorff-Jastrzemb Polen,Herstal Belgien,flop,Haderslev Dänemark,Bolzano Italien,Tourcoing Frankreich,flop,Logroño Spanien,Salford UK
Saarbrücken Deutschland,Schwaz Österreich,Horgen Schweiz,Leidschendam-Voorburg Niederlande,Hirschberg Polen,Braine-l’Alleud Belgien,flop,Ringsted Dänemark,Novara Italien,Nanterre Frankreich,flop,Badajoz Spanien,Aberdeenshire UK
Mülheim an der Ruhr Deutschland,Wörgl Österreich,Nyon Schweiz,Almelo Niederlande,Neu Sandez Polen,Brasschaat Belgien,flop,Ølstykke-Stenløse Dänemark,Piacenza Italien,Avignon Frankreich,flop,Huelva Spanien,Barnsley UK
Potsdam Deutschland,Feldbach Österreich,Vevey Schweiz,Alphen aan den Rijn Niederlande,Konin Polen,Maasmechelen Belgien,flop,Skive Dänemark,Ancona Italien,Vitry-sur-Seine Frankreich,flop,Salamanca Spanien,Tameside UK
Ludwigshafen am Rhein Deutschland,Marchtrenk Österreich,Bülach Schweiz,Gouda Niederlande,Petrikau Polen,Ninove Belgien,flop,Birkerød Dänemark,Andria Italien,Créteil Frankreich,flop,Marbella Spanien,Oldham UK
Oldenburg Deutschland,Gmunden Österreich,Reinach Schweiz,Vlaardingen Niederlande,Siedlce Polen,Waregem Belgien,flop,Rudersdal Dänemark,Arezzo Italien,Dunkerque[] Frankreich,flop,Lleida0 Spanien,Trafford UK
Leverkusen Deutschland,Neunkirchen Österreich,Baden Schweiz,Hoorn Niederlande,"Inowrazlaw, Hohensalza Polen",Châtelet Belgien,flop,Ishøj Dänemark,Udine Italien,Poitiers Frankreich,flop,Dos Hermanas Spanien,Aberdeen UK
Osnabrück Deutschland,Korneuburg Österreich,Adliswil Schweiz,Velsen Niederlande,Lüben Polen,Geel Belgien,flop,Farum Dänemark,Cesena Italien,Asnières-sur-Seine Frankreich,flop,Tarragona Spanien,Southampton UK
Solingen Deutschland,Knittelfeld Österreich,Volketswil Schweiz,Bergen op Zoom Niederlande,Myslowitz Polen,Halle Belgien,flop,Skanderborg Dänemark,Lecce Italien,Versailles Frankreich,flop,Torrejón de Ardoz Spanien,Highland UK
Heidelberg Deutschland,Sankt Veit an der Glan Österreich,Kloten Schweiz,Assen Niederlande,Schneidemühl Polen,Ypern Belgien,flop,flop,Barletta Italien,Courbevoie Frankreich,flop,León Spanien,Rochdale UK
Herne Deutschland,Vöcklabruck Österreich,Onex Schweiz,Capelle aan den IJssel Niederlande,Ostrowiec Świętokrzyski Polen,Grimbergen Belgien,flop,flop,Pesaro Italien,Colombes Frankreich,flop,Mataró Spanien,Solihull UK
Neuss Deutschland,Leibnitz Österreich,Bellinzona Schweiz,Veenendaal Niederlande,Ostrowo Polen,Knokke-Heist Belgien,flop,flop,Alessandria Italien,Aulnay-sous-Bois Frankreich,flop,Parla Spanien,Gateshead UK
Darmstadt Deutschland,Lienz Österreich,Gossau Schweiz,Nieuwegein Niederlande,"Siemianowitz, Laurahütte Polen",Evere Belgien,flop,flop,La Spezia Italien,Cherbourg-en-Cotentin[] Frankreich,flop,Algeciras Spanien,Milton Keynes UK
Paderborn Deutschland,Bad Vöslau Österreich,Schlieren Schweiz,Katwijk Niederlande,Stargard in Pommern Polen,Lier Belgien,flop,flop,Catanzaro Italien,Aubervilliers Frankreich,flop,Cádiz Spanien,North Tyneside UK
Regensburg Deutschland,Enns Österreich,Thalwil Schweiz,Zeist Niederlande,Pabianice Polen,Schoten Belgien,flop,flop,Pistoia Italien,Rueil-Malmaison Frankreich,flop,Santa Coloma de Gramanet Spanien,Calderdale UK
Ingolstadt Deutschland,Ried im Innkreis Österreich,Pully Schweiz,Hardenberg Niederlande,Gnesen Polen,Mol Belgien,flop,flop,Pisa Italien,Pau Frankreich,flop,Jaén Spanien,Northampton UK
Würzburg Deutschland,Hollabrunn Österreich,Glarus Nord 5 Schweiz,Den Helder Niederlande,Suwalken Polen,Wavre Belgien,flop,flop,Guidonia Montecelio Italien,Champigny-sur-Marne Frankreich,flop,Alcobendas Spanien,Portsmouth UK
Fürth Deutschland,Deutschlandsberg Österreich,Muttenz Schweiz,Doetinchem Niederlande,Glogau Polen,Binche Belgien,flop,flop,Lucca Italien,Calais Frankreich,flop,Ourense Spanien,Warrington UK
Wolfsburg Deutschland,Mistelbach Österreich,Regensdorf Schweiz,Terneuzen Niederlande,Chełm Polen,Menen Belgien,flop,flop,Brindisi Italien,Antibes Frankreich,flop,Reus Spanien,North Somerset UK
Offenbach am Main Deutschland,Weiz Österreich,Monthey Schweiz,Smallingerland Niederlande,Premissel Polen,Evergem Belgien,flop,flop,Torre del Greco Italien,Béziers Frankreich,flop,Telde Spanien,Bury UK
Ulm Deutschland,Waidhofen an der Ybbs Österreich,Olten Schweiz,Hoogeveen Niederlande,Zamość Polen,Lommel Belgien,flop,flop,Como Italien,Saint-Maur-des-Fossés Frankreich,flop,Barakaldo Spanien,Luton UK
Heilbronn Deutschland,Gänserndorf Österreich,Martigny Schweiz,Roermond Niederlande,Tomaszów Mazowiecki Polen,Tienen Belgien,flop,flop,Treviso Italien,La Rochelle Frankreich,flop,Lugo Spanien,St Helens UK
Pforzheim Deutschland,Trofaiach Österreich,Opfikon Schweiz,Oosterhout Niederlande,Kandrzin-Cosel Polen,Geraardsbergen Belgien,flop,flop,Busto Arsizio Italien,Cannes Frankreich,flop,Girona Spanien,Stockton-on-Tees UK
Göttingen Deutschland,Zwettl-Niederösterreich Österreich,Ostermundigen Schweiz,Barneveld Niederlande,Stalowa Wola Polen,Heusden-Zolder Belgien,flop,flop,Marsala Italien,Saint-Nazaire Frankreich,flop,Santiago de Compostela Spanien,Renfrewshire UK
Bottrop Deutschland,Völkermarkt Österreich,Siders Schweiz,Heerhugowaard Niederlande,Lissa Polen,Sint-Pieters-Leeuw Belgien,flop,flop,Grosseto Italien,Mérignac Frankreich,flop,San Fernando Spanien,York UK
Trier Deutschland,St. Johann im Pongau Österreich,Solothurn Schweiz,flop,Lomscha Polen,Wevelgem Belgien,flop,flop,Sesto San Giovanni Italien,Drancy Frankreich,flop,Cáceres Spanien,Thamesdown UK
Recklinghausen Deutschland,Gerasdorf bei Wien Österreich,Grenchen Schweiz,flop,Sohrau Polen,Ottignies-Louvain-la-Neuve Belgien,flop,flop,Pozzuoli Italien,Colmar Frankreich,flop,Las Rozas de Madrid Spanien,Southend-on-Sea UK
Reutlingen Deutschland,Groß-Enzersdorf Österreich,Val-de-Ruz 6 Schweiz,flop,Bełchatów Polen,Bilzen Belgien,flop,flop,Varese Italien,Ajaccio Frankreich,flop,Roquetas de Mar Spanien,New Forest UK
Bremerhaven Deutschland,Ebreichsdorf Österreich,Illnau-Effretikon Schweiz,flop,Mielec Polen,Houthalen-Helchteren Belgien,flop,flop,Fiumicino Italien,Issy-les-Moulineaux Frankreich,flop,Lorca Spanien,Caerphilly UK
Koblenz Deutschland,Gleisdorf Österreich,Burgdorf Schweiz,flop,Tarnowitz Polen,flop,flop,flop,Casoria Italien,Bourges Frankreich,flop,Sant Cugat del Vallès Spanien,Carmarthenshire UK
Bergisch Gladbach Deutschland,Seekirchen am Wallersee Österreich,Freienbach Schweiz,flop,Dirschau Polen,flop,flop,flop,Caserta Italien,Levallois-Perret Frankreich,flop,El Ejido Spanien,Bath & North East Somerset UK
Jena Deutschland,Bischofshofen Österreich,Locarno Schweiz,flop,Schweidnitz Polen,flop,flop,flop,Asti Italien,La Seyne-sur-Mer Frankreich,flop,El Puerto de Santa María Spanien,Wycombe UK
Remscheid Deutschland,Imst Österreich,Steffisburg Schweiz,flop,Deutsch Piekar Polen,flop,flop,flop,Gela Italien,Noisy-le-Grand Frankreich,flop,San Sebastián de los Reyes Spanien,Basildon UK
Erlangen Deutschland,Judenburg Österreich,Pratteln Schweiz,flop,Bendzin Polen,flop,flop,flop,Cinisello Balsamo Italien,Quimper Frankreich,flop,Cornellà de Llobregat Spanien,Bournemouth UK
Moers Deutschland,Sankt Andrä Österreich,Cham Schweiz,flop,Zgierz Polen,flop,flop,flop,Aprilia Italien,Cergy Frankreich,flop,Melilla Spanien,Peterborough UK
Siegen Deutschland,flop,Herisau Schweiz,flop,Biała Podlaska Polen,flop,flop,flop,Ragusa Italien,Villeneuve-d’Ascq Frankreich,flop,Coslada Spanien,North East Lincolnshire UK
Hildesheim Deutschland,flop,Morges Schweiz,flop,Ratibor Polen,flop,flop,flop,Pavia Italien,Vénissieux Frankreich,flop,Talavera de la Reina Spanien,Chelmsford UK
Salzgitter Deutschland,flop,Wohlen Schweiz,flop,Lyck Polen,flop,flop,flop,Cremona Italien,Valence Frankreich,flop,Orihuela Spanien,Brighton UK
Cottbus Deutschland,flop,Wallisellen Schweiz,flop,Pruszków Polen,flop,flop,flop,Quartu Sant’Elena Italien,Neuilly-sur-Seine Frankreich,flop,Torrevieja Spanien,South Tyneside UK
Kaiserslautern Deutschland,flop,Langenthal  Schweiz,flop,Schwientochlowitz Polen,flop,flop,flop,Carpi Italien,Antony Frankreich,flop,Avilés Spanien,Charnwood UK
Gütersloh Deutschland,flop,Binningen Schweiz,flop,Ostrolenka Polen,flop,flop,flop,Lamezia Terme Italien,Pessac Frankreich,flop,Palencia Spanien,Aylesbury Vale UK
Schwerin Deutschland,flop,Einsiedeln Schweiz,flop,Starachowice Polen,flop,flop,flop,Altamura Italien,Troyes Frankreich,flop,Pozuelo de Alarcón Spanien,Colchester UK
Witten Deutschland,flop,Mendrisio Schweiz,flop,flop,flop,flop,flop,Imola Italien,Ivry-sur-Seine Frankreich,flop,Sant Boi de Llobregat Spanien,Knowsley UK
Gera Deutschland,flop,Schwyz  Schweiz,flop,flop,flop,flop,flop,L’Aquila Italien,Clichy Frankreich,flop,Getxo Spanien,North Lincolnshire UK
Iserlohn Deutschland,flop,Lyss Schweiz,flop,flop,flop,flop,flop,Massa Italien,Chambéry Frankreich,flop,Guadalajara Spanien,Huntingdonshire UK
Ludwigsburg Deutschland,flop,Arbon Schweiz,flop,flop,flop,flop,flop,Trapani Italien,Montauban Frankreich,flop,Toledo Spanien,Macclesfield UK
Hanau Deutschland,flop,Thônex Schweiz,flop,flop,flop,flop,flop,Cosenza Italien,Niort Frankreich,flop,Pontevedra Spanien,Blackpool UK
Esslingen am Neckar Deutschland,flop,Liestal Schweiz,flop,flop,flop,flop,flop,Viterbo Italien,Villejuif Frankreich,flop,Gandia Spanien,West Lothian UK
Zwickau Deutschland,flop,Stäfa Schweiz,flop,flop,flop,flop,flop,Potenza Italien,Lorient Frankreich,flop,Ceuta Spanien,South Somerset UK
Düren Deutschland,flop,Küsnacht Schweiz,flop,flop,flop,flop,flop,Castellammare di Stabia Italien,Sarcelles Frankreich,flop,Torrent Spanien,Dundee UK
Ratingen Deutschland,flop,Horw Schweiz,flop,flop,flop,flop,flop,Afragola Italien,Hyères Frankreich,flop,Chiclana de la Frontera Spanien,Basingstoke & Deane UK
Tübingen Deutschland,flop,Meilen Schweiz,flop,flop,flop,flop,flop,Vittoria Italien,Saint-Quentin Frankreich,flop,Arona Spanien,Harrogate UK
Flensburg Deutschland,flop,Oftringen Schweiz,flop,flop,flop,flop,flop,Vigevano Italien,Épinay-sur-Seine Frankreich,flop,Manresa Spanien,Dumfries & Galloway UK
Lünen Deutschland,flop,Versoix Schweiz,flop,flop,flop,flop,flop,Pomezia Italien,Pantin Frankreich,flop,Ferrol Spanien,Middlesbrough UK
Villingen-Schwenningen Deutschland,flop,Richterswil Schweiz,flop,flop,flop,flop,flop,Caltanissetta Italien,Maisons-Alfort Frankreich,flop,Vélez-Málaga Spanien,Flintshire UK
Gießen Deutschland,flop,Muri bei Bern Schweiz,flop,flop,flop,flop,flop,Carrara Italien,Beauvais Frankreich,flop,Ciudad Real Spanien,Rochester-upon-Medway UK
Marl Deutschland,flop,Brig-Glis Schweiz,flop,flop,flop,flop,flop,Crotone Italien,Le Blanc-Mesnil Frankreich,flop,Rubí Spanien,The Wrekin UK
Dessau-Roßlau Deutschland,flop,Rheinfelden Schweiz,flop,flop,flop,flop,flop,Viareggio Italien,Cholet Frankreich,flop,Mijas Spanien,Newbury UK
Konstanz Deutschland,flop,flop,flop,flop,flop,flop,flop,Savona Italien,Chelles Frankreich,flop,Benidorm Spanien,Falkirk UK
Worms Deutschland,flop,flop,flop,flop,flop,flop,flop,Fano Italien,Évry Frankreich,flop,Fuengirola Spanien,Reading UK
Minden Deutschland,flop,flop,flop,flop,flop,flop,flop,Matera Italien,Meaux Frankreich,flop,Alcalá de Guadaíra Spanien,Wokingham UK
Velbert Deutschland,flop,flop,flop,flop,flop,flop,flop,Legnano Italien,Fréjus Frankreich,flop,Ponferrada Spanien,Windsor & Maidenhead UK
Neumünster Deutschland,flop,flop,flop,flop,flop,flop,flop,Marano di Napoli Italien,Fontenay-sous-Bois Frankreich,flop,Zamora Spanien,Maidstone UK
Norderstedt Deutschland,flop,flop,flop,flop,flop,flop,flop,Benevento Italien,La Roche-sur-Yon Frankreich,flop,Majadahonda Spanien,Redcar & Cleveland UK
Delmenhorst Deutschland,flop,flop,flop,flop,flop,flop,flop,Agrigento Italien,Bondy Frankreich,flop,Sagunto Spanien,North Ayrshire UK
Wilhelmshaven Deutschland,flop,flop,flop,flop,flop,flop,flop,Molfetta Italien,Vannes Frankreich,flop,Vilanova i la Geltrú Spanien,Blackburn UK
Viersen Deutschland,flop,flop,flop,flop,flop,flop,flop,Acerra Italien,Narbonne Frankreich,flop,Rivas-Vaciamadrid Spanien,Neath Port Talbot UK
Gladbeck Deutschland,flop,flop,flop,flop,flop,flop,flop,Olbia Italien,Arles Frankreich,flop,Sanlúcar de Barrameda Spanien,Poole UK
Dorsten Deutschland,flop,flop,flop,flop,flop,flop,flop,Faenza Italien,Clamart Frankreich,flop,La Línea de la Concepción Spanien,Wealden UK
Rheine Deutschland,flop,flop,flop,flop,flop,flop,flop,Cerignola Italien,Sartrouville Frankreich,flop,Torremolinos Spanien,Arun UK
Detmold Deutschland,flop,flop,flop,flop,flop,flop,flop,Moncalieri Italien,Bobigny Frankreich,flop,El Prat de Llobregat Spanien,Bedford UK
Troisdorf Deutschland,flop,flop,flop,flop,flop,flop,flop,Manfredonia Italien,Grasse Frankreich,flop,Estepona Spanien,Oxford UK
Castrop-Rauxel Deutschland,flop,flop,flop,flop,flop,flop,flop,Foligno Italien,Sevran Frankreich,flop,Viladecans Spanien,Lancaster UK
Lüneburg Deutschland,flop,flop,flop,flop,flop,flop,flop,Tivoli Italien,Laval Frankreich,flop,Molina de Segura Spanien,Newport UK
Marburg Deutschland,flop,flop,flop,flop,flop,flop,flop,Trani Italien,flop,flop,Paterna Spanien,Canterbury UK
Arnsberg Deutschland,flop,flop,flop,flop,flop,flop,flop,Cuneo Italien,flop,flop,Alcoy Spanien,Preston UK
Lüdenscheid Deutschland,flop,flop,flop,flop,flop,flop,flop,Bisceglie Italien,flop,flop,Linares Spanien,Dacorum UK
Bamberg Deutschland,flop,flop,flop,flop,flop,flop,flop,Bitonto Italien,flop,flop,Santa Lucía de Tirajana Spanien,Cherwell UK
Bayreuth Deutschland,flop,flop,flop,flop,flop,flop,flop,Bagheria Italien,flop,flop,Irun Spanien,Perth & Kinross UK
Brandenburg an der Havel Deutschland,flop,flop,flop,flop,flop,flop,flop,Portici Italien,flop,flop,Castelldefels Spanien,Thurrock UK
Bocholt Deutschland,flop,flop,flop,flop,flop,flop,flop,Teramo Italien,flop,flop,Granollers Spanien,Tendring UK
Celle Deutschland,flop,flop,flop,flop,flop,flop,flop,Sanremo Italien,flop,flop,Motril Spanien,Kings Lynn & West Norfolk UK
Landshut Deutschland,flop,flop,flop,flop,flop,flop,flop,Avellino Italien,flop,flop,Arrecife Spanien,St Albans UK
Aschaffenburg Deutschland,flop,flop,flop,flop,flop,flop,flop,Modica Italien,flop,flop,Valdemoro Spanien,Bridgend UK
Dinslaken Deutschland,flop,flop,flop,flop,flop,flop,flop,Anzio Italien,flop,flop,Cerdanyola del Vallès Spanien,South Cambridgeshire UK
Aalen Deutschland,flop,flop,flop,flop,flop,flop,flop,Siena Italien,flop,flop,Segovia Spanien,Braintree UK
Fulda Deutschland,flop,flop,flop,flop,flop,flop,flop,San Severo Italien,flop,flop,Ávila Spanien,Norwich UK
Lippstadt Deutschland,flop,flop,flop,flop,flop,flop,flop,Montesilvano Italien,flop,flop,Benalmádena Spanien,Thanet UK
